2025-11-20 19:30:22,136 | DQN_CartPole | INFO | Episode: 123/1000, Score: 60.00, Steps: 72, Epsilon: 0.543
2025-11-20 19:30:22,147 | DQN_CartPole | INFO | Episode: 124/1000, Score: 1.00, Steps: 13, Epsilon: 0.540
2025-11-20 19:30:22,166 | DQN_CartPole | INFO | Episode: 125/1000, Score: 26.00, Steps: 38, Epsilon: 0.537
2025-11-20 19:30:22,186 | DQN_CartPole | INFO | Episode: 126/1000, Score: 39.00, Steps: 51, Epsilon: 0.534
2025-11-20 19:30:22,201 | DQN_CartPole | INFO | Episode: 127/1000, Score: 6.00, Steps: 18, Epsilon: 0.532
2025-11-20 19:30:22,214 | DQN_CartPole | INFO | Episode: 128/1000, Score: 4.00, Steps: 16, Epsilon: 0.529
2025-11-20 19:30:22,229 | DQN_CartPole | INFO | Episode: 129/1000, Score: 31.00, Steps: 43, Epsilon: 0.526
2025-11-20 19:30:22,243 | DQN_CartPole | INFO | Episode: 130/1000, Score: 21.00, Steps: 33, Epsilon: 0.524
2025-11-20 19:30:22,267 | DQN_CartPole | INFO | Episode: 131/1000, Score: 54.00, Steps: 66, Epsilon: 0.521
2025-11-20 19:30:22,282 | DQN_CartPole | INFO | Episode: 132/1000, Score: 11.00, Steps: 23, Epsilon: 0.519
2025-11-20 19:30:22,307 | DQN_CartPole | INFO | Episode: 133/1000, Score: 172.00, Steps: 184, Epsilon: 0.516
2025-11-20 19:30:22,332 | DQN_CartPole | INFO | Episode: 134/1000, Score: 46.00, Steps: 58, Epsilon: 0.513
2025-11-20 19:30:22,352 | DQN_CartPole | INFO | Episode: 135/1000, Score: 20.00, Steps: 32, Epsilon: 0.511
2025-11-20 19:30:22,369 | DQN_CartPole | INFO | Episode: 136/1000, Score: 19.00, Steps: 31, Epsilon: 0.508
2025-11-20 19:30:22,405 | DQN_CartPole | INFO | Episode: 137/1000, Score: 147.00, Steps: 159, Epsilon: 0.506
2025-11-20 19:30:22,421 | DQN_CartPole | INFO | Episode: 138/1000, Score: 13.00, Steps: 25, Epsilon: 0.503
2025-11-20 19:30:22,436 | DQN_CartPole | INFO | Episode: 139/1000, Score: 77.00, Steps: 89, Epsilon: 0.501
2025-11-20 19:30:22,456 | DQN_CartPole | INFO | Episode: 140/1000, Score: 29.00, Steps: 41, Epsilon: 0.498
2025-11-20 19:30:22,477 | DQN_CartPole | INFO | Episode: 141/1000, Score: 55.00, Steps: 67, Epsilon: 0.496
2025-11-20 19:30:22,495 | DQN_CartPole | INFO | Episode: 142/1000, Score: 34.00, Steps: 46, Epsilon: 0.493
2025-11-20 19:30:22,515 | DQN_CartPole | INFO | Episode: 143/1000, Score: 16.00, Steps: 28, Epsilon: 0.491
2025-11-20 19:30:22,541 | DQN_CartPole | INFO | Episode: 144/1000, Score: 88.00, Steps: 100, Epsilon: 0.488
2025-11-20 19:30:22,562 | DQN_CartPole | INFO | Episode: 145/1000, Score: 45.00, Steps: 57, Epsilon: 0.486
2025-11-20 19:30:22,585 | DQN_CartPole | INFO | Episode: 146/1000, Score: 65.00, Steps: 77, Epsilon: 0.483
2025-11-20 19:30:22,597 | DQN_CartPole | INFO | Episode: 147/1000, Score: 26.00, Steps: 38, Epsilon: 0.481
2025-11-20 19:30:22,616 | DQN_CartPole | INFO | Episode: 148/1000, Score: 41.00, Steps: 53, Epsilon: 0.479
2025-11-20 19:30:22,639 | DQN_CartPole | INFO | Episode: 149/1000, Score: 49.00, Steps: 61, Epsilon: 0.476
2025-11-20 19:30:22,649 | DQN_CartPole | INFO | Episode: 150/1000, Score: 24.00, Steps: 36, Epsilon: 0.474
2025-11-20 19:30:22,670 | DQN_CartPole | INFO | Episode: 151/1000, Score: 23.00, Steps: 35, Epsilon: 0.471
2025-11-20 19:30:22,695 | DQN_CartPole | INFO | Episode: 152/1000, Score: 108.00, Steps: 120, Epsilon: 0.469
2025-11-20 19:30:22,710 | DQN_CartPole | INFO | Episode: 153/1000, Score: 32.00, Steps: 44, Epsilon: 0.467
2025-11-20 19:30:22,721 | DQN_CartPole | INFO | Episode: 154/1000, Score: 25.00, Steps: 37, Epsilon: 0.464
2025-11-20 19:30:22,746 | DQN_CartPole | INFO | Episode: 155/1000, Score: 79.00, Steps: 91, Epsilon: 0.462
2025-11-20 19:30:22,767 | DQN_CartPole | INFO | Episode: 156/1000, Score: 24.00, Steps: 36, Epsilon: 0.460
2025-11-20 19:30:22,783 | DQN_CartPole | INFO | Episode: 157/1000, Score: 14.00, Steps: 26, Epsilon: 0.458
2025-11-20 19:30:22,797 | DQN_CartPole | INFO | Episode: 158/1000, Score: 23.00, Steps: 35, Epsilon: 0.455
2025-11-20 19:30:22,821 | DQN_CartPole | INFO | Episode: 159/1000, Score: 58.00, Steps: 70, Epsilon: 0.453
2025-11-20 19:30:22,841 | DQN_CartPole | INFO | Episode: 160/1000, Score: 50.00, Steps: 62, Epsilon: 0.451
2025-11-20 19:30:22,861 | DQN_CartPole | INFO | Episode: 161/1000, Score: 39.00, Steps: 51, Epsilon: 0.448
2025-11-20 19:30:22,888 | DQN_CartPole | INFO | Episode: 162/1000, Score: 57.00, Steps: 69, Epsilon: 0.446
2025-11-20 19:30:22,901 | DQN_CartPole | INFO | Episode: 163/1000, Score: 15.00, Steps: 27, Epsilon: 0.444
2025-11-20 19:30:22,912 | DQN_CartPole | INFO | Episode: 164/1000, Score: 10.00, Steps: 22, Epsilon: 0.442
2025-11-20 19:30:22,932 | DQN_CartPole | INFO | Episode: 165/1000, Score: 31.00, Steps: 43, Epsilon: 0.440
2025-11-20 19:30:22,963 | DQN_CartPole | INFO | Episode: 166/1000, Score: 88.00, Steps: 100, Epsilon: 0.437
2025-11-20 19:30:22,985 | DQN_CartPole | INFO | Episode: 167/1000, Score: 52.00, Steps: 64, Epsilon: 0.435
2025-11-20 19:30:22,993 | DQN_CartPole | INFO | Episode: 168/1000, Score: 10.00, Steps: 22, Epsilon: 0.433
2025-11-20 19:30:23,013 | DQN_CartPole | INFO | Episode: 169/1000, Score: 26.00, Steps: 38, Epsilon: 0.431
2025-11-20 19:30:23,030 | DQN_CartPole | INFO | Episode: 170/1000, Score: 55.00, Steps: 67, Epsilon: 0.429
2025-11-20 19:30:23,044 | DQN_CartPole | INFO | Episode: 171/1000, Score: 26.00, Steps: 38, Epsilon: 0.427
2025-11-20 19:30:23,063 | DQN_CartPole | INFO | Episode: 172/1000, Score: 50.00, Steps: 62, Epsilon: 0.424
2025-11-20 19:30:23,084 | DQN_CartPole | INFO | Episode: 173/1000, Score: 36.00, Steps: 48, Epsilon: 0.422
2025-11-20 19:30:23,100 | DQN_CartPole | INFO | Episode: 174/1000, Score: 43.00, Steps: 55, Epsilon: 0.420
2025-11-20 19:30:23,123 | DQN_CartPole | INFO | Episode: 175/1000, Score: 44.00, Steps: 56, Epsilon: 0.418
2025-11-20 19:30:23,146 | DQN_CartPole | INFO | Episode: 176/1000, Score: 43.00, Steps: 55, Epsilon: 0.416
2025-11-20 19:30:23,163 | DQN_CartPole | INFO | Episode: 177/1000, Score: 14.00, Steps: 26, Epsilon: 0.414
2025-11-20 19:30:23,181 | DQN_CartPole | INFO | Episode: 178/1000, Score: 24.00, Steps: 36, Epsilon: 0.412
2025-11-20 19:30:23,197 | DQN_CartPole | INFO | Episode: 179/1000, Score: 34.00, Steps: 46, Epsilon: 0.410
2025-11-20 19:30:23,212 | DQN_CartPole | INFO | Episode: 180/1000, Score: 15.00, Steps: 27, Epsilon: 0.408
2025-11-20 19:30:23,232 | DQN_CartPole | INFO | Episode: 181/1000, Score: 30.00, Steps: 42, Epsilon: 0.406
2025-11-20 19:30:23,252 | DQN_CartPole | INFO | Episode: 182/1000, Score: 50.00, Steps: 62, Epsilon: 0.404
2025-11-20 19:30:23,268 | DQN_CartPole | INFO | Episode: 183/1000, Score: 38.00, Steps: 50, Epsilon: 0.402
2025-11-20 19:30:23,288 | DQN_CartPole | INFO | Episode: 184/1000, Score: 31.00, Steps: 43, Epsilon: 0.400
2025-11-20 19:30:23,313 | DQN_CartPole | INFO | Episode: 185/1000, Score: 54.00, Steps: 66, Epsilon: 0.398
2025-11-20 19:30:23,333 | DQN_CartPole | INFO | Episode: 186/1000, Score: 48.00, Steps: 60, Epsilon: 0.396
2025-11-20 19:30:23,364 | DQN_CartPole | INFO | Episode: 187/1000, Score: 82.00, Steps: 94, Epsilon: 0.394
2025-11-20 19:30:23,374 | DQN_CartPole | INFO | Episode: 188/1000, Score: 51.00, Steps: 63, Epsilon: 0.392
2025-11-20 19:30:23,400 | DQN_CartPole | INFO | Episode: 189/1000, Score: 54.00, Steps: 66, Epsilon: 0.390
2025-11-20 19:30:23,426 | DQN_CartPole | INFO | Episode: 190/1000, Score: 52.00, Steps: 64, Epsilon: 0.388
2025-11-20 19:30:23,448 | DQN_CartPole | INFO | Episode: 191/1000, Score: 75.00, Steps: 87, Epsilon: 0.386
2025-11-20 19:30:23,472 | DQN_CartPole | INFO | Episode: 192/1000, Score: 72.00, Steps: 84, Epsilon: 0.384
2025-11-20 19:30:23,498 | DQN_CartPole | INFO | Episode: 193/1000, Score: 68.00, Steps: 80, Epsilon: 0.382
2025-11-20 19:30:23,533 | DQN_CartPole | INFO | Episode: 194/1000, Score: 130.00, Steps: 142, Epsilon: 0.380
2025-11-20 19:30:23,553 | DQN_CartPole | INFO | Episode: 195/1000, Score: 79.00, Steps: 91, Epsilon: 0.378
2025-11-20 19:30:23,586 | DQN_CartPole | INFO | Episode: 196/1000, Score: 100.00, Steps: 112, Epsilon: 0.376
2025-11-20 19:30:23,608 | DQN_CartPole | INFO | Episode: 197/1000, Score: 58.00, Steps: 70, Epsilon: 0.374
2025-11-20 19:30:23,623 | DQN_CartPole | INFO | Episode: 198/1000, Score: 68.00, Steps: 80, Epsilon: 0.373
2025-11-20 19:30:23,656 | DQN_CartPole | INFO | Episode: 199/1000, Score: 94.00, Steps: 106, Epsilon: 0.371
2025-11-20 19:30:23,695 | DQN_CartPole | INFO | Episode: 200/1000, Score: 146.00, Steps: 158, Epsilon: 0.369
2025-11-20 19:30:23,715 | DQN_CartPole | INFO | Episode: 201/1000, Score: 58.00, Steps: 70, Epsilon: 0.367
